Data,Study,Trait,Sample1,Sample2,AuthorDate,Data.type,Citation,Species,System,Order,Sex,GenPhen,AlloSyn,Autonomous,Trait,Dimensionality (k),BodySizeCorrelated,Years,GLength,Darwins,Darwins.num,Darwins.num.abs,Darwins (standardized by k),Haldanes,Generations,log10.gens,h.num,Darwin.Numerator,log10.years,d,InSitu
48,1,1,CHCH,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
49,1,1,CHCH,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
50,1,1,CHCH,OBAN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-75.54945906,-0.016620881,0.016620881,-75.54945906,NA,220.0000001,2.342422681,NA,0.016620881,2.342422681,-0.016620881,2
51,1,1,KAIK,NELN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-24.59667859,-0.005509656,0.005509656,-24.59667859,NA,223.9999998,2.350248018,NA,0.005509656,2.350248018,-0.005509656,2
52,1,1,KAIK,AUCK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
53,1,1,KAIK,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
54,1,1,KAIK,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
55,1,1,KAIK,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
56,1,1,KAIK,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
57,1,1,KAIK,OBAN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-75.54945906,-0.016620881,0.016620881,-75.54945906,NA,220.0000001,2.342422681,NA,0.016620881,2.342422681,-0.016620881,2
