id[ ],sire[ ],dam[ ],year[ ],diet[ ],"obs[ ,1]","obs[ ,2]","obs[ ,3]",PN[ ],CP[ ],DF[ ]
28,600,600,1,0,0.701706727,1.274359348,0.579988422,22.94117647,8.779727273,2278.383871
29,600,600,1,0,0.657228058,0.844142684,0.211862503,22.71923077,7.576597222,2233.852692
30,600,600,1,0,-0.955891961,-0.464383871,-1.755324483,15.96875,4.839428571,1995.8875
31,600,600,1,0,-1.292227639,-2.036698517,-0.051382281,14.83695652,2.824021978,2202.008696
32,600,600,1,0,-2.233919605,-1.823657301,-1.111308766,12.07692308,3.037833333,2073.792308
33,600,600,1,0,-0.771630713,-1.53605254,-1.82577629,16.62499833,3.352379976,1987.365139
34,600,600,1,0,0.565170432,0.566412393,0.234794119,22.26666667,6.888965517,2236.626667
35,600,600,1,0,0.810553,-0.182788636,-0.511001757,23.49350071,5.329534683,2146.409793
36,600,600,2,0,1.716508067,0.854432733,-0.172357629,28.85185185,10.20542308,2250
37,600,600,2,0,0.843453094,0.904078921,-1.366265658,23.67857143,10.42674074,2095.982143
38,600,600,2,0,-1.65955737,-0.95065178,1.281095624,13.4375,4.677933333,2437.5
39,600,600,2,0,-0.835618375,0.231115727,-0.172357629,16.19230769,7.79556,2250
40,600,600,2,0,1.934391681,1.61114746,-0.172357629,30.31034483,14.15307143,2250
41,600,600,2,0,NA,NA,NA,NA,NA,NA
42,600,600,2,0,-0.629523863,-1.392408256,-0.272595784,16.96551724,3.864964286,2237.068966
43,600,600,2,0,-1.400174763,-1.546051793,-1.625810881,14.25,3.616677419,2062.5
44,600,600,2,0,1.155563361,1.515820112,1.024603874,25.41176471,13.581875,2404.411765
45,600,600,2,0,1.716224476,0.644824743,-1.407792893,28.85,9.321631579,2090.625
46,600,600,2,0,-1.683910517,-1.266549354,-1.097282426,13.36363636,4.081,2130.681818
47,600,600,2,0,-1.37087087,-1.026885521,-1.625810881,14.34482759,4.526333333,2062.5
48,600,600,2,0,-0.014369275,-0.579786451,1.169291528,19.5,5.49108,2423.076923
49,600,600,2,0,1.949445227,0.103175716,1.281095624,30.4137931,7.37625,2437.5
50,600,600,2,0,0.447921371,0.238356653,0.728783388,21.65090909,7.819991667,2366.25
51,600,600,2,0,-0.923058102,-1.094955377,1.281095624,15.875,4.395125,2437.5
52,600,600,2,0,NA,NA,NA,NA,NA,NA
53,600,600,2,0,-1.715233142,-0.316581673,-0.172357629,13.26923077,6.15256,2250
54,600,600,2,0,0.413702419,0.011586536,1.796837101,21.48387097,7.09,2504.032258
55,600,600,2,0,0.389895833,1.610726994,-0.172357629,21.36842105,14.1505,2250
56,600,600,2,0,0.895761308,0.591401547,-0.031700862,23.96057348,9.108891026,2268.145161
57,600,600,2,0,-0.534759658,1.913331352,-1.141326464,17.33333333,16.1274,2125
58,600,600,2,0,-2.306829013,-0.996518386,-0.266128806,11.60630499,4.586124242,2237.903226
59,600,600,2,0,-1.076442669,0.086908161,-0.172357629,15.33333333,7.324576923,2250
60,600,600,1,0,1.087867523,-0.421069845,0.495801411,24.96153846,4.911772727,2268.2
61,600,600,1,0,0.670597002,0.15218231,-0.453629148,22.78571429,5.977583333,2153.35
62,600,600,1,0,0.396891997,-0.69575804,-0.949041239,21.46256684,4.47065,2093.421364
63,600,600,1,0,-0.654878621,-0.194327323,-0.478385507,17.05470085,5.308509375,2150.355291
64,600,600,1,0,1.989671616,0.199491114,0.116029187,30.4,6.07525,2222.26
65,600,600,1,0,0.257422959,0.065806068,2.381706353,20.81818182,5.803296296,2496.332727
66,600,600,1,0,0.083504018,-0.273633885,-0.364693228,20.04166667,5.166227273,2164.108333
