Z1 Z2 type_final
0 0 NA
0.007 0 NA
1 0 PO
0.3627 0.0235 AV
0 0 NA
0.4601 0.0075 G1
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0895 0 NA
0 0 NA
0 0 NA
0.5247 0 HS
0.0244 0 NA
0.0804 0 NA
0.0692 0 NA
0.9896 0.0104 PO
0.0473 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.6213 0.1885 FS
0 0 C2
0 0 NA
0 0 NA
0 0 NA
0.0464 0 NA
0.043 0 NA
0 0 NA
0.0371 0.0052 NA
0.0762 0 NA
0.0184 0.0114 NA
0 0 NA
0 0 NA
0.4796 0.0074 G1
0.3025 0 AV2
0.087 0 NA
0.0147 0.001 C4
0.0544 0 NA
0.9787 0.0213 PO
0.9905 0.0095 PO
0.1683 0 NA
0 0 NA
0 0 NA
0.118 0 NA
0.954 0.046 PO
0.9959 0.0041 PO
0 0 NA
0 0 NA
0.2221 0 AV2
0 0 NA
0.1319 0 NA
0.0979 0 NA
0.0357 2e-04 C3
1 0 PO
0.2243 0 GAV
0.0476 0 C0.5
1 0 PO
0.0744 0 NA
0 0.0356 NA
0 0 NA
0 0 NA
0 0 NA
0.0168 0 NA
0.5056 0.208 FS
0.1019 0 NA
0.0956 0 C0.5
0 0 NA
0 0 NA
0.1605 0 NA
0.1041 0 C1r1
0 0 NA
0.0565 0.0017 NA
0.1657 0 NA
0.5069 0.0132 AV
0.0163 0.0053 NA
0 0 NA
0.06 0 NA
0.0046 0.0149 NA
0.0306 0 NA
0 0 NA
0.4938 0.092 AV
0.1599 0 NA
0.1449 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0471 0 NA
0 0 NA
0.0773 0 NA
0.028 0.0073 NA
0.0762 0.0135 NA
0.0985 0 NA
0.0904 0 NA
0 0 NA
0.0297 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0944 0 NA
0 0 NA
0 0 NA
0.1104 0 NA
0 0.0119 NA
0 0 NA
0 0 NA
0 0 NA
0.0269 0.0112 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
1 0 PO
1 0 PO
0.9614 0.0386 PO
0.1405 0 NA
0.1058 0 NA
0.4945 0.0018 HS
0 0 NA
0 0 NA
0.5114 0.3327 FS
0.1354 0 NA
0.0216 0.0089 NA
0.0237 0 NA
0 0 NA
0.082 0 NA
0 0 NA
0.1967 0 NA
0 0 NA
0 0 NA
0 0 NA
0.3838 0.021 HS
0.1011 0 NA
0.3755 0 AV2
0.4596 0.2604 FS
0.0583 0 NA
0.5432 0.0013 G1
0.9431 0.0569 PO
0 0.0186 NA
0.0649 0.0046 NA
0 0 NA
0.1686 0.0039 GAV
0 0 NA
0.0511 0 NA
0 0 NA
0 0 NA
0.0694 0 NA
0.0344 0 C2r1
0 0 NA
0 0 NA
0 0 NA
0 0 C2r1
0 0 NA
0 0 NA
0.0809 0 NA
0 0 NA
0.2801 0 NA
0.0856 0 C2
0.9858 0.0142 PO
0 0 NA
0.5119 0.0091 HS
0 0 NA
0 0 NA
0.0219 0.0039 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2492 0 AV2
0.9589 0.0411 PO
0.082 0 NA
0.0811 0 NA
0.041 0 NA
0.0078 0 NA
0.1389 0 C1r1
0.097 0 NA
0.0896 0 NA
0 0 NA
0.0388 0 NA
0.011 0 NA
0 0 NA
0.0274 0 NA
0 0 NA
0 0 NA
0 0 NA
0.093 0 NA
0 0 NA
0 0 NA
0 0 NA
0.5236 0.2808 FS
0 0 NA
0.9754 0.0246 PO
1 0 PO
0 0 NA
0.5676 1e-04 HS
0.2378 0 NA
0.0712 0 NA
0.4366 0 G1
0 0 NA
0.4693 0 HS
0.0785 0 NA
0.0207 0 NA
0 0 NA
0.1282 0 NA
0 0 NA
0.0946 0 NA
1 0 PO
0.1288 0 NA
0.1177 0 NA
0 0.005 NA
0 0 NA
0 0 NA
0.1626 0 NA
0.1076 0 NA
0 0 NA
0 0 NA
0.0754 0 NA
0.0588 0.0019 NA
0 0 NA
0.627 0.2987 FS
0.0622 0.0045 NA
0 0 NA
0.0138 0.0144 NA
0.022 0.0015 NA
0 0 NA
0.4226 0.2803 FS
0.0525 0 NA
1 0 PO
1 0 PO
0.2771 0.0062 C1
0 0 NA
0 0.0054 NA
0 0 NA
0 0 NA
0.0446 0 NA
0 0 NA
0.2096 0.0325 NA
0 0 NA
0.1057 0 NA
0 0.0098 NA
0 0 NA
1 0 PO
1 0 PO
0 0 NA
0.0699 0 C2r1
0 0 NA
0 0 NA
0 0 NA
0.9903 0.0097 PO
0 0 NA
0.015 0.0166 NA
0.0671 0 NA
0 0 C4
0.9884 0.0116 PO
0.5194 0 AV
0.0836 0 NA
0.065 0.0163 NA
0 0 NA
0 0 NA
0.1235 0 NA
0.1089 0 NA
0.0657 0 NA
0 0 NA
0.1191 0 NA
0.0698 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1829 0 NA
0.0473 0.001 NA
1 0 PO
0 0 NA
0 0 NA
0.9716 0.0284 PO
0 0 NA
0.1221 0 NA
0.0941 0 NA
0.6732 0.0592 G1
0.414 0.0512 G1
0.0501 0 NA
0 0 NA
0 0.0199 NA
0 0 NA
0 0 NA
0.04 0.0105 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2156 5e-04 C1
0.0337 0 NA
0 0 NA
0.0776 0 NA
0.0616 0.0051 NA
0.0098 0 NA
0 0.0185 C2r1
0.6665 0 AV
0.1101 0 NA
0 0 NA
0 0 NA
0.044 0 NA
0.211 0 G3
0.006 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.993 0.007 PO
0.0207 0 NA
0.3115 0 G2
0.1176 0.0541 G2
1 0 PO
0.5579 0 AV
0 0 NA
0.1041 0 NA
0 0 NA
0 0 NA
0 0.0084 NA
0.1355 0 NA
0.0277 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1583 0 C2
0.1177 0 C2
0 0 C2r1
0 0 C2r1
0.0722 0 NA
0.0505 0 NA
0 0 NA
0 0 NA
0.0455 0 NA
0.0123 0.0128 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0319 0 NA
0 0 NA
0 0 NA
0 0 NA
